#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    256    1024    0.25    0
4    10    1024    0.009765625    1
5    48    1024    0.046875    1
6    64    1024    0.0625    0
7    47    1024    0.0458984375    15
8    0    1024    0.0    0
9    32    1024    0.03125    0
10    128    1024    0.125    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    37    1024    0.0361328125    0
17    19    1024    0.0185546875    10
18    0    1024    0.0    2
19    0    1024    0.0    0
20    0    1024    0.0    3
21    0    1024    0.0    0
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    1    1024    0.0009765625    0
26    32    1024    0.03125    0
27    128    1024    0.125    0
28    32    1024    0.03125    0
29    0    1024    0.0    4
30    64    1024    0.0625    1
31    121    1024    0.1181640625    20
32    16    1024    0.015625    1
33    64    1024    0.0625    1
34    70    1024    0.068359375    2
35    0    1024    0.0    0
36    0    1024    0.0    4
37    64    1024    0.0625    0
38    0    1024    0.0    2
39    104    1024    0.1015625    2
40    35    1024    0.0341796875    30
41    74    1024    0.072265625    1
42    8    1024    0.0078125    1
43    80    1024    0.078125    0
44    0    1024    0.0    1
45    128    1024    0.125    0
46    0    1024    0.0    0
47    68    1024    0.06640625    0
48    37    1024    0.0361328125    22
49    0    1024    0.0    21
50    64    1024    0.0625    37
51    128    1024    0.125    0
52    64    1024    0.0625    0
53    16    1024    0.015625    0
54    128    1024    0.125    0
55    64    1024    0.0625    0
56    64    1024    0.0625    2
57    96    1024    0.09375    19
58    8    1024    0.0078125    31
59    120    1024    0.1171875    23
60    0    1024    0.0    0

average cpu utilization is: 0.043603515625
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0145345052083
average queuing jobs are: 4.33333333333
maximum queuing jobs are: 37


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
67    1563438021.36    1563438021.37    0.000999927520752    1    0.0003    0.0003    0.00129992752075    1.0    2
68    1563438021.4    1563438021.42    0.0230000019073    32    0.0748    2.3936    0.0978000019073    3.01008064516    5
69    1563438021.4    1563438021.42    0.0179998874664    4    0.0078    0.0312    0.0257998874664    1.5    2
70    1563438021.44    1563438021.44    0.0    4    0.0068    0.0272    0.0068    1.5    2
71    1563438021.44    1563438021.44    0.0    1    0.0009    0.0009    0.0009    1.0    2
72    1563438021.47    1563438021.47    0.0    4    0.0064    0.0256    0.0064    1.5    2
73    1563438021.48    1563438021.48    0.000999927520752    1    0.0016    0.0016    0.00259992752075    1.0    2
74    1563438021.49    1563438021.52    0.0210001468658    32    0.0206    0.6592    0.0416001468658    3.01008064516    5
75    1563438021.51    1563438021.52    0.00699996948242    4    0.0074    0.0296    0.0143999694824    1.5    2
76    1563438021.52    1563438021.55    0.0220000743866    32    0.026    0.832    0.0480000743866    3.07056451613    5
77    1563438021.53    1563438021.55    0.0120000839233    4    0.0138    0.0552    0.0258000839233    1.5    2
78    1563438021.55    1563438021.55    0.0    4    0.0024    0.0096    0.0024    1.5    2
79    1563438021.56    1563438021.57    0.00100016593933    8    0.0037    0.0296    0.00470016593933    1.85714285714    3
80    1563438021.58    1563438021.58    0.000999927520752    1    0.0004    0.0004    0.00139992752075    1.0    2
81    1563438021.59    1563438021.59    0.00100016593933    1    0.0004    0.0004    0.00140016593933    1.0    2
82    1563438021.59    1563438021.59    0.000999927520752    1    0.0004    0.0004    0.00139992752075    1.0    2
83    1563438021.62    1563438021.64    0.0199999809265    32    0.0014    0.0448    0.0213999809265    3.01008064516    5
84    1563438021.63    1563438021.65    0.0199999809265    4    0.0023    0.0092    0.0222999809265    1.5    2
85    1563438021.64    1563438021.65    0.0130000114441    4    0.0019    0.0076    0.0149000114441    1.5    2
86    1563438021.64    1563438021.65    0.00699996948242    4    0.0054    0.0216    0.0123999694824    1.5    2
87    1563438021.65    1563438021.67    0.0230000019073    32    0.05    1.6    0.0730000019073    3.01008064516    5
88    1563438021.65    1563438021.67    0.0209999084473    8    0.0355    0.284    0.0564999084473    1.85714285714    3
89    1563438021.68    1563438021.7    0.0209999084473    32    0.0235    0.752    0.0444999084473    3.07056451613    5
90    1563438021.69    1563438021.71    0.0139999389648    16    0.0004    0.0064    0.0143999389648    2.36666666667    4
91    1563438021.7    1563438021.72    0.0190000534058    16    0.0029    0.0464    0.0219000534058    2.36666666667    4
