,aspl,diameter,hosts,number of nodes,switches
160,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
161,3.75446428571,5,"[1389, 1960, 1291, 1260, 1231, 1201, 1784, 1305, 1602, 1550, 1652, 2012, 1053, 1862, 1449, 1162, 1164, 1814, 1247, 1959, 1482, 1387, 1294, 1943, 1528, 1088, 1313, 1802, 1102, 1427, 2010, 1275, 1868, 1072, 1074, 1043, 1788, 1119, 1987, 1988, 1836, 1805, 1938, 1213, 1886, 1956, 1876, 1207, 1176, 1178, 1147, 1031, 2007, 2028, 1782, 1335, 1693, 1694, 1892, 1523, 1970, 1683, 1881, 1882]",64,"[365, 936, 267, 236, 207, 177, 760, 281, 578, 526, 628, 988, 29, 838, 425, 138, 140, 790, 223, 935, 458, 363, 270, 919, 504, 64, 289, 778, 78, 403, 986, 251, 844, 48, 50, 19, 764, 95, 963, 964, 812, 781, 914, 189, 862, 932, 852, 183, 152, 154, 123, 7, 983, 1004, 758, 311, 669, 670, 868, 499, 946, 659, 857, 858]"
162,0.0,0,[1024],1,[0]
163,3.04032258065,4,"[1153, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1504, 1155, 1316, 1741, 1398, 1597, 1438, 1378, 1380, 1093, 1582, 1463, 2046, 1311, 1826, 1894, 2001, 2032, 1073, 1687, 1688, 1440, 1642, 1229]",32,"[129, 2, 483, 716, 47, 213, 796, 317, 480, 131, 292, 717, 374, 573, 414, 354, 356, 69, 558, 439, 1022, 287, 802, 870, 977, 1008, 49, 663, 664, 416, 618, 205]"
164,0.0,0,[1058],1,[34]
165,3.74751984127,5,"[1739, 2017, 1701, 1296, 1590, 1591, 1631, 1206, 1318, 1543, 2037, 1686, 1756, 1757, 1514, 1935, 1680, 1681, 1977, 1146, 1626, 1028, 1324, 1425, 1330, 2011, 1534, 1439, 1921, 1922, 2026, 1067, 2000, 1531, 1948, 1698, 1699, 1644, 1420, 1553, 1404, 1885, 1763, 1444, 1738, 1428, 1909, 1593, 1668, 1346, 1322, 1905, 1172, 1333, 1335, 1496, 1284, 1445, 1447, 1096, 1617, 1458, 1434, 1596]",64,"[715, 993, 677, 272, 566, 567, 607, 182, 294, 519, 1013, 662, 732, 733, 490, 911, 656, 657, 953, 122, 602, 4, 300, 401, 306, 987, 510, 415, 897, 898, 1002, 43, 976, 507, 924, 674, 675, 620, 396, 529, 380, 861, 739, 420, 714, 404, 885, 569, 644, 322, 298, 881, 148, 309, 311, 472, 260, 421, 423, 72, 593, 434, 410, 572]"
166,3.12903225806,4,"[1024, 1058, 1262, 1167, 1268, 1979, 1052, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1325, 1038, 1363, 1946, 1211, 1256, 1967, 1490, 1395, 1397]",32,"[0, 34, 238, 143, 244, 955, 28, 161, 163, 324, 749, 406, 605, 446, 937, 204, 365, 367, 338, 537, 378, 225, 301, 14, 339, 922, 187, 232, 943, 466, 371, 373]"
167,3.90376984127,5,"[1302, 1601, 1442, 1418, 1429, 1431, 1080, 1414, 1639, 1835, 1621, 1853, 1408, 1057, 1059, 1220, 1645, 2013, 1342, 1605, 1384, 1033, 1035, 1973, 1278, 1824, 1331, 1300, 1271, 1131, 2002, 1077, 1304, 2019, 1092, 1207, 1209, 1114, 1029, 1031, 1192, 1713, 1042, 1530, 1692, 1452, 1746, 1747, 1787, 1468, 1616, 1392, 1727, 1897, 1066, 1434, 1659, 1546, 1855, 1282, 1832, 1833, 1762, 1875]",64,"[278, 577, 418, 394, 405, 407, 56, 390, 615, 811, 597, 829, 384, 33, 35, 196, 621, 989, 318, 581, 360, 9, 11, 949, 254, 800, 307, 276, 247, 107, 978, 53, 280, 995, 68, 183, 185, 90, 5, 7, 168, 689, 18, 506, 668, 428, 722, 723, 763, 444, 592, 368, 703, 873, 42, 410, 635, 522, 831, 258, 808, 809, 738, 851]"
168,3.06048387097,4,"[1024, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 1631, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038]",32,"[0, 34, 715, 238, 143, 244, 955, 28, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 607, 937, 204, 365, 367, 338, 537, 378, 225, 714, 301, 14]"
169,1.5,2,"[1363, 1461, 1319, 1902]",4,"[339, 437, 295, 878]"
